time,mc location,mc energy,min energy,max energy,max charge,nb_dead,nb_pack,number_pack
1,"(0.0, 0.0)",500,4.994298239999964,5.0,-100,0,0,200
2,"(0.0, 0.0)",500,4.9920888079999495,5.0,-100,0,0,90
3,"(0.0, 0.0)",500,4.989237927999931,5.0,-100,0,0,89
4,"(0.0, 0.0)",500,4.9864583199999135,5.0,-100,0,0,100
5,"(0.0, 0.0)",500,4.984177615999899,5.0,-100,0,0,88
6,"(0.0, 0.0)",500,4.9817543679998835,5.0,-100,0,0,90
7,"(0.0, 0.0)",500,4.979331119999868,5.0,-100,0,0,82
8,"(0.0, 0.0)",500,4.977335503999855,5.0,-100,0,0,74
9,"(0.0, 0.0)",500,4.974342079999836,5.0,-100,0,0,100
10,"(0.0, 0.0)",500,4.971705015999819,5.0,-100,0,0,89
11,"(0.0, 0.0)",500,4.966003255999783,5.0,-100,0,0,200
12,"(0.0, 0.0)",500,4.963580007999767,5.0,-100,0,0,90
13,"(0.0, 0.0)",500,4.957878247999731,5.0,-100,0,0,200
14,"(0.0, 0.0)",500,4.955241183999714,5.0,-100,0,0,90
15,"(0.0, 0.0)",500,4.952105215999694,5.0,-100,0,0,87
16,"(0.0, 0.0)",500,4.949396879999677,5.0,-100,0,0,86
17,"(0.0, 0.0)",500,4.946545999999659,5.0,-100,0,0,88
18,"(0.0, 0.0)",500,4.943481303999639,5.0,-100,0,0,115
19,"(0.0, 0.0)",500,4.94048787999962,5.0,-100,0,0,88
20,"(0.0, 0.0)",500,4.9347861199995835,5.0,-100,0,0,200
21,"(0.0, 0.0)",500,4.929084359999547,5.0,-100,0,0,200
22,"(0.0, 0.0)",500,4.926589839999531,5.0,-100,0,0,80
23,"(0.0, 0.0)",500,4.924594223999518,5.0,-100,0,0,88
24,"(0.0, 0.0)",500,4.918892463999482,5.0,-100,0,0,200
25,"(0.0, 0.0)",500,4.916397943999466,5.0,-100,0,0,90
26,"(0.0, 0.0)",500,4.913974695999451,5.0,-100,0,0,83
27,"(0.0, 0.0)",500,4.911480175999435,5.0,-100,0,0,76
28,"(0.0, 0.0)",500,4.908629295999416,5.0,-100,0,0,100
29,"(0.0, 0.0)",500,4.90292753599938,5.0,-100,0,0,200
30,"(0.0, 0.0)",500,4.900361743999364,5.0,-100,0,0,87
31,"(0.0, 0.0)",500,4.898081039999349,5.0,-100,0,0,84
32,"(0.0, 0.0)",500,4.892379279999313,5.0,-100,0,0,200
33,"(0.0, 0.0)",500,4.8901698479992985,5.0,-100,0,0,88
34,"(0.0, 0.0)",500,4.887675327999283,5.0,-100,0,0,91
35,"(0.0, 0.0)",500,4.885252079999267,5.0,-100,0,0,92
36,"(0.0, 0.0)",500,4.883042647999253,5.0,-100,0,0,77
37,"(0.0, 0.0)",500,4.8806193999992376,5.0,-100,0,0,95
38,"(0.0, 0.0)",500,4.874917639999201,5.0,-100,0,0,200
39,"(0.0, 0.0)",500,4.872351847999185,5.0,-100,0,0,85
40,"(0.0, 0.0)",500,4.869857327999169,5.0,-100,0,0,91
41,"(0.0, 0.0)",500,4.867434079999153,5.0,-100,0,0,86
42,"(0.0, 0.0)",500,4.86536719199914,5.0,-100,0,0,97
43,"(0.0, 0.0)",500,4.862801399999124,5.0,-100,0,0,88
44,"(0.0, 0.0)",500,4.857099639999087,5.0,-100,0,0,200
45,"(0.0, 0.0)",500,4.85432003199907,5.0,-100,0,0,89
46,"(0.0, 0.0)",500,4.848618271999033,5.0,-100,0,0,200
47,"(0.0, 0.0)",500,4.846195023999018,5.0,-100,0,0,75
48,"(0.0, 0.0)",500,4.843771775999002,5.0,-100,0,0,88
49,"(0.0, 0.0)",500,4.840564535998982,5.0,-100,0,0,109
50,"(0.0, 0.0)",500,4.837927471998965,5.0,-100,0,0,83
51,"(0.0, 0.0)",500,4.835076591998947,5.0,-100,0,0,102
52,"(0.0, 0.0)",500,4.832653343998931,5.0,-100,0,0,85
53,"(0.0, 0.0)",500,4.82937483199891,5.0,-100,0,0,105
54,"(0.0, 0.0)",500,4.827165399998896,5.0,-100,0,0,78
55,"(0.0, 0.0)",500,4.824742151998881,5.0,-100,0,0,84
56,"(0.0, 0.0)",500,4.822247631998865,5.0,-100,0,0,87
57,"(0.0, 0.0)",500,4.816545871998828,5.0,-100,0,0,200
58,"(0.0, 0.0)",500,4.814478983998815,5.0,-100,0,0,84
59,"(0.0, 0.0)",500,4.811913191998799,5.0,-100,0,0,83
60,"(0.0, 0.0)",500,4.809489943998783,5.0,-100,0,0,82
61,"(0.0, 0.0)",500,4.803788183998747,5.0,-100,0,0,200
62,"(0.0, 0.0)",500,4.800794759998728,5.0,-100,0,0,93
63,"(0.0, 0.0)",500,4.798442783998713,5.0,-100,0,0,84
64,"(0.0, 0.0)",500,4.795805719998696,5.0,-100,0,0,93
